DATAFLOW,LAST UPDATE,freq,unit,coicop,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:PRC_HICP_MANR(1.0),01/02/23 11:00:00,M,RCH_A,CP00,AT,2023-01,11.5,e
ESTAT:PRC_HICP_MANR(1.0),01/02/23 11:00:00,M,RCH_A,CP00,BE,2010-01,0.8,
ESTAT:PRC_HICP_MANR(1.0),01/02/23 11:00:00,M,RCH_A,CP00,BE,2010-02,0.8,
ESTAT:PRC_HICP_MANR(1.0),01/02/23 11:00:00,M,RCH_A,CP00,BE,2010-03,1.9,
ESTAT:PRC_HICP_MANR(1.0),01/02/23 11:00:00,M,RCH_A,CP00,BE,2010-04,2.0,
ESTAT:PRC_HICP_MANR(1.0),01/02/23 11:00:00,M,RCH_A,CP00,BE,2010-05,2.5,
ESTAT:PRC_HICP_MANR(1.0),01/02/23 11:00:00,M,RCH_A,CP00,BE,2010-06,2.7,
ESTAT:PRC_HICP_MANR(1.0),01/02/23 11:00:00,M,RCH_A,CP00,BE,2010-07,2.4,
ESTAT:PRC_HICP_MANR(1.0),01/02/23 11:00:00,M,RCH_A,CP00,BE,2010-08,2.4,
ESTAT:PRC_HICP_MANR(1.0),01/02/23 11:00:00,M,RCH_A,CP00,BE,2010-09,2.9,
ESTAT:PRC_HICP_MANR(1.0),01/02/23 11:00:00,M,RCH_A,CP00,BE,2010-10,3.1,
ESTAT:PRC_HICP_MANR(1.0),01/02/23 11:00:00,M,RCH_A,CP00,BE,2010-11,3.0,
ESTAT:PRC_HICP_MANR(1.0),01/02/23 11:00:00,M,RCH_A,CP00,BE,2010-12,3.4,
ESTAT:PRC_HICP_MANR(1.0),01/02/23 11:00:00,M,RCH_A,CP00,BE,2011-01,3.5,
ESTAT:PRC_HICP_MANR(1.0),01/02/23 11:00:00,M,RCH_A,CP00,BE,2011-02,3.5,
ESTAT:PRC_HICP_MANR(1.0),01/02/23 11:00:00,M,RCH_A,CP00,BE,2011-03,3.3,
ESTAT:PRC_HICP_MANR(1.0),01/02/23 11:00:00,M,RCH_A,CP00,BE,2011-04,3.1,
ESTAT:PRC_HICP_MANR(1.0),01/02/23 11:00:00,M,RCH_A,CP00,BE,2011-05,2.9,
ESTAT:PRC_HICP_MANR(1.0),01/02/23 11:00:00,M,RCH_A,CP00,BE,2011-06,3.3,
ESTAT:PRC_HICP_MANR(1.0),01/02/23 11:00:00,M,RCH_A,CP00,BE,2011-07,4.0,
ESTAT:PRC_HICP_MANR(1.0),01/02/23 11:00:00,M,RCH_A,CP00,BE,2011-08,3.4,
ESTAT:PRC_HICP_MANR(1.0),01/02/23 11:00:00,M,RCH_A,CP00,BE,2011-09,3.2,
ESTAT:PRC_HICP_MANR(1.0),01/02/23 11:00:00,M,RCH_A,CP00,BE,2011-10,3.2,
ESTAT:PRC_HICP_MANR(1.0),01/02/23 11:00:00,M,RCH_A,CP00,BE,2011-11,3.5,
ESTAT:PRC_HICP_MANR(1.0),01/02/23 11:00:00,M,RCH_A,CP00,BE,2011-12,3.2,
ESTAT:PRC_HICP_MANR(1.0),01/02/23 11:00:00,M,RCH_A,CP00,BE,2012-01,3.3,
ESTAT:PRC_HICP_MANR(1.0),01/02/23 11:00:00,M,RCH_A,CP00,BE,2012-02,3.4,
ESTAT:PRC_HICP_MANR(1.0),01/02/23 11:00:00,M,RCH_A,CP00,BE,2012-03,3.1,
ESTAT:PRC_HICP_MANR(1.0),01/02/23 11:00:00,M,RCH_A,CP00,BE,2012-04,2.9,
ESTAT:PRC_HICP_MANR(1.0),01/02/23 11:00:00,M,RCH_A,CP00,BE,2012-05,2.6,
ESTAT:PRC_HICP_MANR(1.0),01/02/23 11:00:00,M,RCH_A,CP00,BE,2012-06,2.2,
ESTAT:PRC_HICP_MANR(1.0),01/02/23 11:00:00,M,RCH_A,CP00,BE,2012-07,2.0,
ESTAT:PRC_HICP_MANR(1.0),01/02/23 11:00:00,M,RCH_A,CP00,BE,2012-08,2.6,
ESTAT:PRC_HICP_MANR(1.0),01/02/23 11:00:00,M,RCH_A,CP00,BE,2012-09,2.6,
ESTAT:PRC_HICP_MANR(1.0),01/02/23 11:00:00,M,RCH_A,CP00,BE,2012-10,2.7,
ESTAT:PRC_HICP_MANR(1.0),01/02/23 11:00:00,M,RCH_A,CP00,BE,2012-11,2.2,
ESTAT:PRC_HICP_MANR(1.0),01/02/23 11:00:00,M,RCH_A,CP00,BE,2012-12,2.1,
ESTAT:PRC_HICP_MANR(1.0),01/02/23 11:00:00,M,RCH_A,CP00,BE,2013-01,1.5,
ESTAT:PRC_HICP_MANR(1.0),01/02/23 11:00:00,M,RCH_A,CP00,BE,2013-02,1.5,
ESTAT:PRC_HICP_MANR(1.0),01/02/23 11:00:00,M,RCH_A,CP00,BE,2013-03,1.4,
ESTAT:PRC_HICP_MANR(1.0),01/02/23 11:00:00,M,RCH_A,CP00,BE,2013-04,1.2,
ESTAT:PRC_HICP_MANR(1.0),01/02/23 11:00:00,M,RCH_A,CP00,BE,2013-05,1.2,
ESTAT:PRC_HICP_MANR(1.0),01/02/23 11:00:00,M,RCH_A,CP00,BE,2013-06,1.6,
ESTAT:PRC_HICP_MANR(1.0),01/02/23 11:00:00,M,RCH_A,CP00,BE,2013-07,1.6,
ESTAT:PRC_HICP_MANR(1.0),01/02/23 11:00:00,M,RCH_A,CP00,BE,2013-08,1.1,
ESTAT:PRC_HICP_MANR(1.0),01/02/23 11:00:00,M,RCH_A,CP00,BE,2013-09,1.0,
ESTAT:PRC_HICP_MANR(1.0),01/02/23 11:00:00,M,RCH_A,CP00,BE,2013-10,0.7,
ESTAT:PRC_HICP_MANR(1.0),01/02/23 11:00:00,M,RCH_A,CP00,BE,2013-11,0.9,
ESTAT:PRC_HICP_MANR(1.0),01/02/23 11:00:00,M,RCH_A,CP00,BE,2013-12,1.2,
ESTAT:PRC_HICP_MANR(1.0),01/02/23 11:00:00,M,RCH_A,CP00,BE,2014-01,1.1,
ESTAT:PRC_HICP_MANR(1.0),01/02/23 11:00:00,M,RCH_A,CP00,BE,2014-02,0.8,
ESTAT:PRC_HICP_MANR(1.0),01/02/23 11:00:00,M,RCH_A,CP00,BE,2014-03,0.8,
ESTAT:PRC_HICP_MANR(1.0),01/02/23 11:00:00,M,RCH_A,CP00,BE,2014-04,0.8,
